time,wx,wy,wz,ax,ay,az
0.51,-0.01,-0.01,-0.03,-0.08,0.04,0.05
0.512,-0.01,-0.01,-0.03,-0.08,0.04,0.05
0.514,-0.01,-0.01,-0.03,-0.07,0.04,0.05
0.515,-0.02,-0.01,-0.03,-0.07,0.04,0.05
0.516,-0.01,-0.01,-0.03,-0.07,0.04,0.05
0.517,-0.01,-0.01,-0.03,-0.07,0.04,0.05
0.519,-0.01,0,-0.03,-0.07,0.04,0.05
0.522,-0.01,0,-0.04,-0.07,0.04,0.05
0.527,-0.01,0,-0.04,-0.02,0,-0.03
0.527,-0.01,-0.01,-0.04,-0.02,0,-0.03
0.528,-0.01,-0.01,-0.04,-0.02,0,-0.03
0.528,-0.01,-0.01,-0.04,-0.02,0,-0.03
0.53,-0.01,-0.01,-0.04,-0.02,0,-0.03
0.531,0,-0.01,-0.04,-0.02,0,-0.03
0.534,0,-0.01,-0.04,0.02,-0.07,-0.17
0.535,0,-0.02,-0.04,0.02,-0.07,-0.17
0.535,-0.01,-0.01,-0.05,0.02,-0.07,-0.17
0.537,0,-0.02,-0.05,0.02,-0.07,-0.17
0.539,0,-0.02,-0.04,0.02,-0.07,-0.17
0.541,0,-0.02,-0.05,0.02,-0.07,-0.17
0.546,0,-0.02,-0.05,0.12,-0.1,-0.27
0.546,-0.01,-0.02,-0.05,0.12,-0.1,-0.27
0.546,-0.01,-0.02,-0.05,0.12,-0.1,-0.27
0.547,0,-0.02,-0.05,0.12,-0.1,-0.27
0.549,-0.01,-0.02,-0.06,0.12,-0.1,-0.27
0.551,-0.01,-0.02,-0.06,0.12,-0.1,-0.27
0.554,-0.01,-0.02,-0.06,0.1,-0.13,-0.29
0.554,-0.01,-0.01,-0.06,0.1,-0.13,-0.29
0.555,0,-0.01,-0.06,0.1,-0.13,-0.29
0.557,0,-0.02,-0.06,0.1,-0.13,-0.29
0.559,0,-0.01,-0.07,0.1,-0.13,-0.29
0.562,0,-0.02,-0.07,0.1,-0.13,-0.29
0.567,0,-0.02,-0.07,0.19,-0.13,-0.34
0.567,0,-0.02,-0.07,0.19,-0.13,-0.34
0.567,0,-0.02,-0.08,0.19,-0.13,-0.34
0.567,0,-0.02,-0.08,0.19,-0.13,-0.34
0.569,0,-0.03,-0.08,0.19,-0.13,-0.34
0.571,0,-0.02,-0.08,0.19,-0.13,-0.34
0.574,0,-0.02,-0.08,-0.03,-0.26,-0.35
0.574,0,-0.02,-0.08,-0.03,-0.26,-0.35
0.575,0,-0.02,-0.07,-0.03,-0.26,-0.35
0.579,0,-0.01,-0.07,-0.03,-0.26,-0.35
0.58,0,-0.01,-0.07,-0.03,-0.26,-0.35
0.581,0,-0.01,-0.08,-0.03,-0.26,-0.35
0.586,0,-0.01,-0.08,0.2,-0.11,-0.37
0.586,0,0,-0.08,0.2,-0.11,-0.37
0.587,0.01,0,-0.08,0.2,-0.11,-0.37
0.588,0.01,0,-0.09,0.2,-0.11,-0.37
0.589,0.01,0,-0.09,0.2,-0.11,-0.37
0.591,0.01,0.01,-0.09,0.2,-0.11,-0.37
0.595,0.01,0.01,-0.09,0.09,-0.08,-0.23
0.596,0.02,0.01,-0.09,0.09,-0.08,-0.23
0.596,0.02,0.01,-0.09,0.09,-0.08,-0.23
0.597,0.03,0.02,-0.09,0.09,-0.08,-0.23
0.599,0.03,0.02,-0.09,0.09,-0.08,-0.23
0.601,0.04,0.01,-0.09,0.09,-0.08,-0.23
0.605,0.04,0.01,-0.09,0.17,-0.08,-0.25
0.605,0.04,0.02,-0.09,0.17,-0.08,-0.25
0.606,0.04,0.02,-0.1,0.17,-0.08,-0.25
0.607,0.04,0.01,-0.1,0.17,-0.08,-0.25
0.609,0.05,0.02,-0.1,0.17,-0.08,-0.25
0.613,0.05,0.02,-0.1,0.17,-0.08,-0.25
0.615,0.05,0.02,-0.1,0.01,-0.17,-0.19
0.616,0.05,0.02,-0.1,0.01,-0.17,-0.19
0.616,0.05,0.03,-0.09,0.01,-0.17,-0.19
0.617,0.05,0.03,-0.09,0.01,-0.17,-0.19
0.619,0.05,0.03,-0.09,0.01,-0.17,-0.19
0.621,0.06,0.03,-0.08,0.01,-0.17,-0.19
0.626,0.06,0.03,-0.08,0.14,-0.11,-0.18
0.626,0.06,0.03,-0.08,0.14,-0.11,-0.18
0.626,0.06,0.03,-0.09,0.14,-0.11,-0.18
0.627,0.06,0.03,-0.08,0.14,-0.11,-0.18
0.63,0.06,0.03,-0.08,0.14,-0.11,-0.18
0.631,0.06,0.02,-0.08,0.14,-0.11,-0.18
0.634,0.06,0.02,-0.08,0.03,-0.13,-0.15
0.634,0.06,0.01,-0.08,0.03,-0.13,-0.15
0.635,0.06,0.01,-0.08,0.03,-0.13,-0.15
0.637,0.06,0,-0.07,0.03,-0.13,-0.15
0.639,0.06,-0.01,-0.07,0.03,-0.13,-0.15
0.641,0.05,-0.01,-0.07,0.03,-0.13,-0.15
0.646,0.05,-0.01,-0.07,-0.04,-0.11,-0.09
0.647,0.05,-0.02,-0.06,-0.04,-0.11,-0.09
0.647,0.05,-0.02,-0.06,-0.04,-0.11,-0.09
0.647,0.05,-0.03,-0.06,-0.04,-0.11,-0.09
0.649,0.05,-0.04,-0.06,-0.04,-0.11,-0.09
0.651,0.05,-0.04,-0.05,-0.04,-0.11,-0.09
0.654,0.05,-0.04,-0.05,0.06,-0.11,0
0.654,0.04,-0.03,-0.05,0.06,-0.11,0
0.655,0.04,-0.03,-0.05,0.06,-0.11,0
0.658,0.04,-0.03,-0.05,0.06,-0.11,0
0.669,0.04,-0.03,-0.04,0.06,-0.11,0
0.669,0.04,-0.03,-0.04,0.06,-0.11,0
0.669,0.04,-0.03,-0.04,-0.02,-0.13,0.08
0.67,0.03,-0.03,-0.04,-0.02,-0.13,0.08
0.67,0.03,-0.02,-0.03,-0.02,-0.13,0.08
0.67,0.03,-0.02,-0.03,-0.02,-0.13,0.08
0.67,0.03,-0.02,-0.02,-0.02,-0.13,0.08
0.671,0.02,-0.02,-0.02,-0.02,-0.13,0.08
0.675,0.02,-0.02,-0.02,0,-0.05,0.1
0.675,0.02,-0.02,-0.02,0,-0.05,0.1
0.675,0.02,-0.02,-0.01,0,-0.05,0.1
0.678,0.02,-0.02,-0.01,0,-0.05,0.1
0.68,0.01,-0.01,-0.01,0,-0.05,0.1
0.681,0.01,0,-0.01,0,-0.05,0.1
0.686,0.01,0,-0.01,-0.01,-0.03,0.2
0.686,0.01,0.01,0,-0.01,-0.03,0.2
0.686,0.01,0.02,0,-0.01,-0.03,0.2
0.688,0.01,0.02,0,-0.01,-0.03,0.2
0.69,0.01,0.02,0,-0.01,-0.03,0.2
0.692,0,0.02,0,-0.01,-0.03,0.2
0.697,0,0.02,0,0.01,0,0.13
0.698,0,0.02,0.01,0.01,0,0.13
0.698,0,0.02,0.01,0.01,0,0.13
0.698,-0.01,0.02,0.01,0.01,0,0.13
0.702,-0.01,0.02,0.01,0.01,0,0.13
0.703,-0.01,0.02,0.01,0.01,0,0.13
0.706,-0.01,0.02,0.01,0.1,0.02,0.12
0.707,-0.02,0.02,0.01,0.1,0.02,0.12
0.707,-0.02,0.02,0.01,0.1,0.02,0.12
0.71,-0.02,0.02,0.01,0.1,0.02,0.12
0.711,-0.03,0.02,0.01,0.1,0.02,0.12
0.712,-0.03,0.02,0.01,0.1,0.02,0.12
0.715,-0.03,0.02,0.01,0.06,0.05,0.05
0.715,-0.03,0.02,0.02,0.06,0.05,0.05
0.716,-0.03,0.02,0.01,0.06,0.05,0.05
0.718,-0.04,0.02,0.01,0.06,0.05,0.05
0.72,-0.04,0.02,0.02,0.06,0.05,0.05
0.721,-0.04,0.01,0.01,0.06,0.05,0.05
0.725,-0.04,0.01,0.01,0.11,0.08,0.04
0.726,-0.05,0.01,0.02,0.11,0.08,0.04
0.726,-0.04,0.01,0.01,0.11,0.08,0.04
0.73,-0.04,0.01,0.01,0.11,0.08,0.04
0.731,-0.05,0.01,0.01,0.11,0.08,0.04
0.732,-0.05,0.01,0.01,0.11,0.08,0.04
0.736,-0.05,0.01,0.01,0.1,0.11,0
0.736,-0.05,0,0.01,0.1,0.11,0
0.736,-0.05,0,0.01,0.1,0.11,0
0.738,-0.05,0,0.01,0.1,0.11,0
0.741,-0.05,0,0.01,0.1,0.11,0
0.742,-0.05,-0.01,0.01,0.1,0.11,0
0.746,-0.04,-0.01,0.01,0.1,0.11,0
0.747,-0.04,-0.01,0.01,0.09,0.15,-0.01
0.747,-0.04,-0.01,0.01,0.09,0.15,-0.01
0.747,-0.04,-0.01,0.01,0.09,0.15,-0.01
0.749,-0.04,-0.01,0,0.09,0.15,-0.01
0.751,-0.04,-0.02,0,0.09,0.15,-0.01
0.754,-0.04,-0.02,0,0.08,0.14,-0.03
0.754,-0.04,-0.02,0,0.08,0.14,-0.03
0.755,-0.03,-0.02,0,0.08,0.14,-0.03
0.757,-0.04,-0.02,0,0.08,0.14,-0.03
0.76,-0.03,-0.03,0,0.08,0.14,-0.03
0.762,-0.04,-0.03,0,0.08,0.14,-0.03
0.766,-0.04,-0.03,0,0.09,0.18,-0.08
0.766,-0.04,-0.03,0,0.09,0.18,-0.08
