time,ax,ay,az,wx,wy,wz
3.345,-0.39,-0.79,0.29,0.16,-0.21,-0.11
3.356,-0.26,-0.75,-0.03,0.11,-0.15,-0.12
3.367,-0.11,-0.75,-0.25,0.05,-0.06,-0.13
3.379,-0.03,-0.71,-0.47,-0.02,0.03,-0.15
3.391,0.03,-0.55,-0.76,-0.12,0.12,-0.18
3.404,0.07,-0.45,-1.01,-0.18,0.17,-0.21
3.414,0.07,-0.34,-1.31,-0.21,0.21,-0.22
3.425,-0.02,-0.25,-1.5,-0.22,0.2,-0.23
3.435,-0.01,-0.1,-1.52,-0.22,0.14,-0.23
3.446,0.05,0.01,-1.47,-0.2,0.04,-0.23
3.457,0.07,0.18,-1.43,-0.14,-0.09,-0.25
3.468,0.1,0.41,-1.37,-0.1,-0.2,-0.26
3.479,0.06,0.47,-1.26,-0.06,-0.3,-0.27
3.492,0.02,0.49,-1.15,-0.02,-0.39,-0.27
3.504,0.04,0.54,-1.04,-0.02,-0.39,-0.27
3.515,0.04,0.53,-0.77,0,-0.42,-0.3
3.526,0.04,0.53,-0.77,0,-0.42,-0.3
3.536,-0.02,0.36,-0.41,-0.02,-0.36,-0.33
3.547,0.03,0.3,-0.19,-0.04,-0.3,-0.35
3.558,-0.02,0.35,-0.02,-0.06,-0.26,-0.37
3.569,-0.12,0.39,0.13,-0.08,-0.25,-0.38
3.579,-0.17,0.44,0.29,-0.08,-0.2,-0.39
3.591,-0.26,0.39,0.54,-0.06,-0.16,-0.38
3.602,-0.32,0.33,0.81,-0.02,-0.17,-0.36
3.614,-0.36,0.27,1.1,0.07,-0.27,-0.36
3.624,-0.35,0.21,1.36,0.14,-0.33,-0.36
3.639,-0.2,0.43,1.69,0.21,-0.39,-0.37
3.649,-0.29,0.69,1.38,0.2,-0.48,-0.38
3.67,-0.24,0.32,1.35,0.14,-0.62,-0.37
3.68,-0.13,-0.67,1.9,-0.04,-0.63,-0.4
3.691,-0.19,-0.46,1.65,-0.17,-0.51,-0.43
3.702,-0.21,-0.31,1.45,-0.24,-0.41,-0.44
3.712,-0.02,-0.25,1.41,-0.32,-0.16,-0.46
3.724,0.05,-0.32,1.32,-0.32,-0.03,-0.46
3.735,0.05,-0.46,0.82,-0.28,0.1,-0.47
3.746,0.04,-0.6,0.69,-0.22,0.08,-0.46
3.757,0.01,-0.65,0.66,-0.11,-0.03,-0.45
3.769,-0.03,-0.69,0.69,-0.06,-0.08,-0.45
3.781,-0.06,-0.63,0.76,0.03,-0.05,-0.44
3.795,0,-0.63,0.5,0.09,0,-0.43
3.806,0.02,-0.67,0.22,0.13,0.03,-0.42
3.823,0.05,-0.75,0.07,0.18,0.01,-0.4
3.839,0.14,-0.84,-0.01,0.19,-0.02,-0.38
3.849,0.22,-0.72,-0.16,0.21,-0.09,-0.37
3.861,0.26,-0.64,-0.31,0.2,-0.11,-0.37
3.872,0.24,-0.63,-0.46,0.16,-0.13,-0.38
3.886,0.25,-0.75,-0.49,0.1,-0.16,-0.38
3.897,0.18,-1.05,-0.36,0.03,-0.22,-0.4
3.907,0.15,-1.09,-0.03,0.01,-0.23,-0.4
3.926,0.15,-1.07,0.35,-0.04,-0.2,-0.41
3.938,0.17,-1.01,0.96,-0.04,-0.09,-0.4
3.949,0.22,-0.92,1.2,-0.01,0,-0.37
3.959,0.19,-0.91,1.23,0.03,0.07,-0.33
3.972,0.21,-0.79,1.14,0.08,0.17,-0.29
3.986,0.12,-0.77,0.72,0.1,0.22,-0.23
4.003,0.08,-0.83,0.51,0.14,0.25,-0.18
4.015,-0.03,-0.91,0.01,0.21,0.26,-0.05
4.03,-0.03,-0.91,0.01,0.24,0.24,-0.01
4.042,-0.01,-0.82,-0.5,0.25,0.21,0.05
4.054,-0.11,-0.88,-0.93,0.26,0.22,0.09
4.065,-0.11,-0.88,-0.93,0.26,0.22,0.13
4.078,-0.11,-0.91,-1.02,0.28,0.25,0.17
4.089,-0.12,-0.89,-1.04,0.29,0.27,0.2
4.103,-0.12,-0.85,-1.07,0.31,0.26,0.24
4.113,-0.1,-0.83,-0.99,0.33,0.23,0.26
4.124,0.06,-0.78,-0.88,0.35,0.21,0.27
4.145,-0.08,-0.76,-0.74,0.38,0.17,0.31
4.155,-0.04,-0.71,-0.83,0.38,0.14,0.35
4.168,-0.04,-0.71,-0.83,0.36,0.15,0.37
4.179,-0.08,-0.66,-0.9,0.25,0.16,0.42
4.19,-0.12,-0.57,-0.86,0.19,0.17,0.44
4.201,-0.12,-0.61,-0.72,0.14,0.18,0.46
4.211,-0.12,-0.66,-0.64,0.11,0.16,0.49
4.224,-0.17,-0.74,-0.51,0.08,0.14,0.5
4.239,-0.14,-0.8,-0.42,0.05,0.09,0.55
4.251,-0.01,-0.67,0,0.03,0,0.61
4.263,-0.03,-0.62,0.32,0.03,-0.03,0.63
4.274,0.15,-0.46,0.52,0.03,-0.02,0.66
4.286,-0.09,-0.38,0.32,-0.01,0.01,0.71
4.296,-0.08,-0.78,0.34,-0.09,-0.03,0.86
4.307,0.16,-0.96,0.74,-0.16,-0.07,0.94
4.324,0.28,-0.74,1.22,-0.24,-0.13,0.97
4.341,0.35,-0.44,1.69,-0.25,-0.13,0.95
4.352,0.23,-0.72,1.57,-0.26,-0.07,0.85
4.366,0,-1.13,0.5,-0.24,0.07,0.81
4.377,-0.04,-1.14,0.07,-0.21,0.17,0.82
4.388,-0.04,-1.11,0.07,-0.17,0.22,0.83
4.399,0.06,-1,-0.43,-0.12,0.28,0.83
4.411,0.08,-0.87,-0.74,-0.07,0.31,0.83
4.424,0.16,-0.74,-0.94,-0.04,0.3,0.82
4.435,0.06,-0.65,-1.21,0,0.26,0.82
4.445,0.07,-0.45,-1.33,0.02,0.22,0.81
4.456,-0.05,-0.34,-1.36,0.03,0.16,0.78
4.467,-0.04,-0.24,-1.36,0.03,0.07,0.75
4.477,-0.03,-0.11,-1.26,0.04,0.01,0.71
4.49,0.01,-0.11,-1.08,0.05,-0.05,0.67
4.503,0.01,-0.17,-1.03,0.05,-0.07,0.65
4.514,-0.1,-0.21,-0.86,0.01,-0.17,0.58
4.529,-0.13,-0.16,-0.51,0,-0.24,0.54
4.541,-0.13,-0.04,0.73,0.11,-0.33,0.41
4.552,-0.25,-0.08,1.11,0.17,-0.35,0.36
4.565,-0.31,-0.17,1.45,0.21,-0.34,0.32
4.576,-0.37,-0.21,1.54,0.21,-0.24,0.25
4.586,-0.32,-0.23,1.52,0.19,-0.18,0.23
4.597,-0.22,-0.24,1.44,0.07,0,0.17
4.608,-0.13,-0.3,1.41,0,0.05,0.14
4.625,-0.08,-0.36,1.37,-0.12,0.11,0.09
4.636,-0.13,-0.52,1.25,-0.26,0.12,-0.01
4.653,-0.13,-0.52,1.25,-0.27,0.11,-0.02
4.665,-0.16,-0.58,1.19,-0.27,0.16,-0.05
4.677,-0.15,-0.53,0.46,-0.15,0.22,-0.02
4.69,-0.1,-0.43,0.1,-0.07,0.24,-0.02
4.702,-0.09,-0.38,-0.19,0.02,0.24,-0.03
4.714,-0.07,-0.43,-0.98,0.06,0.22,-0.04
4.725,-0.03,-0.4,-1.33,0.08,0.17,-0.05
4.735,-0.02,-0.34,-1.57,0.06,0.09,-0.09
4.746,-0.14,-0.3,-1.69,0.02,-0.02,-0.13
4.757,-0.26,-0.34,-1.58,-0.01,-0.12,-0.15
4.767,-0.21,-0.39,-1.23,-0.01,-0.17,-0.16
4.779,-0.19,-0.4,-0.92,0.02,-0.2,-0.17
4.791,-0.22,-0.4,-0.5,0.08,-0.23,-0.16
4.806,-0.12,-0.2,0.09,0.13,-0.25,-0.16
